,MEMBER,PARTY,PVI,2016 D%,2016 R%,CLINTON %,TRUMP %
Florida-14,Kathy Castor,D,D+7,61.80%,38.20%,57.20%,39.00%
Florida-15,Dennis Ross,R,R+6,42.50%,57.50%,43.10%,53.10%
Florida-16,Vern Buchanan,R,R+7,40.20%,59.80%,43.00%,53.70%
Florida-17,Tom Rooney,R,R+13,34.20%,61.80%,35.00%,62.20%
Florida-18,Brian Mast,R,R+5,43.10%,53.60%,44.10%,53.30%
Florida-19,Francis Rooney,R,R+13,34.10%,65.90%,37.50%,59.60%
Florida-20,Alcee Hastings,D,D+31,80.30%,19.70%,80.20%,18.10%
Florida-21,Lois Frankel,D,D+9,62.70%,35.10%,58.60%,39.10%
Florida-22,Ted Deutch,D,D+6,58.90%,41.10%,56.80%,41.00%
Florida-23,Debbie Wasserman Schultz,D,D+11,56.70%,40.50%,61.90%,35.80%
Florida-24,Frederica Wilson,D,D+34,100.00%,0.00%,82.70%,15.50%
Florida-25,Mario Diaz-Balart,R,R+4,37.60%,62.40%,47.90%,49.70%
Florida-26,Carlos Curbelo,R,D+6,41.20%,53.00%,56.80%,40.50%
Florida-27,OPEN (Ros-Lehtinen),R,D+5,45.10%,54.90%,58.60%,38.90%
Georgia-01,Buddy Carter,R,R+9,0.00%,100.00%,40.90%,56.40%
Georgia-02,Sanford Bishop,D,D+6,61.20%,38.80%,55.00%,43.30%
Georgia-03,Drew Ferguson,R,R+18,31.70%,68.30%,32.80%,64.30%
Georgia-04,Hank Johnson,D,D+24,75.70%,24.30%,75.30%,22.20%
Georgia-05,John Lewis,D,D+34,84.40%,15.60%,85.00%,11.90%
Georgia-06,Karen Handel,R,R+8,38.30%,61.70%,46.80%,48.30%
Georgia-07,Rob Woodall,R,R+9,39.60%,60.40%,44.80%,51.10%
Georgia-08,Austin Scott,R,R+15,32.40%,67.60%,34.40%,63.30%
Georgia-09,Doug Collins,R,R+31,0.00%,100.00%,19.30%,77.80%
Georgia-10,Jody Hice,R,R+15,0.00%,100.00%,35.80%,61.30%
Georgia-11,Barry Loudermilk,R,R+17,32.60%,67.40%,35.30%,60.30%
Georgia-12,Rick Allen,R,R+9,38.40%,61.60%,40.70%,56.90%
Georgia-13,David Scott,D,D+20,100.00%,0.00%,71.00%,26.60%
Georgia-14,Tom Graves,R,R+27,0.00%,100.00%,22.10%,75.00%
Hawaii-01,OPEN (Hanabusa),D,D+17,71.90%,22.70%,63.10%,30.50%
Hawaii-02,Tulsi Gabbard,D,D+19,81.20%,18.80%,61.40%,29.60%
Idaho-01,OPEN (Labrador),R,R+21,31.80%,68.20%,25.40%,63.70%
Idaho-02,Mike Simpson,R,R+17,29.40%,62.90%,29.80%,54.50%
Illinois-01,Bobby Rush,D,D+27,74.10%,25.90%,74.70%,21.50%
Illinois-02,Robin Kelly,D,D+29,79.80%,20.20%,77.60%,19.00%
Illinois-03,Dan Lipinski,D,D+6,100.00%,0.00%,54.90%,39.40%
Illinois-04,Luis Gutierrez,D,D+33,100.00%,0.00%,81.30%,13.10%
Illinois-05,Mike Quigley,D,D+20,67.80%,27.50%,69.60%,23.60%
Illinois-06,Peter Roskam,R,R+2,40.80%,59.20%,49.90%,43.00%
Illinois-07,Danny Davis,D,D+38,84.20%,15.80%,86.50%,9.10%
Illinois-08,Raja Krishnamoorthi,D,D+8,58.30%,41.70%,57.50%,36.00%
Illinois-09,Jan Schakowsky,D,D+18,66.50%,33.50%,69.10%,24.60%
Illinois-10,Brad Schneider,D,D+10,52.60%,47.40%,61.00%,32.10%
Illinois-11,Bill Foster,D,D+9,60.40%,39.60%,58.40%,35.20%
Illinois-12,Mike Bost,R,R+5,39.70%,54.30%,40.10%,54.90%
Illinois-13,Rodney Davis,R,R+3,40.30%,59.70%,44.30%,49.50%
Illinois-14,Randy Hultgren,R,R+5,40.70%,59.30%,45.30%,49.30%
Illinois-15,John Shimkus,R,R+21,0.00%,100.00%,24.50%,70.70%
Illinois-16,Adam Kinzinger,R,R+8,0.00%,99.90%,38.20%,55.00%
Illinois-17,Cheri Bustos,D,D+2,60.30%,39.70%,46.50%,47.30%
Illinois-18,Darin LaHood,R,R+15,27.90%,72.10%,32.80%,60.50%
Indiana-01,Peter Visclosky,D,D+8,81.50%,0.00%,53.80%,41.30%
Indiana-02,Jackie Walorski,R,R+11,36.90%,59.30%,35.90%,58.90%
Indiana-03,Jim Banks,R,R+18,23.00%,70.10%,29.90%,64.70%
